Age,Gender,Occupation,Visited poll names,Visited poll categories,Voted poll name,Voted poll category
15,Male,Software Developer,"should travelling sales representatives have bikes, soft drink without colouring, outfit for a baby, truck size to transfer material","Food and Beverages, Fashion, Automation and Transportation","should travelling sales representatives have bikes, truck size to transfer material",Automation and Transportation
16,Female,Business Analyst,"back to school outfit , best cake flavour for a birthday , cutest and fluffiest phone back cover ,  RAM size for a gaming laptop","Fashion, Food and Beverages, IT and Electronics","back to school outfit , cutest and fluffiest phone back cover ",Fashion
16,Male,Electrician,"common plant disease, adorable twin outfit, pesticides harmful to men, cornflakes or sandwiches for breakfast","Architecture and Agriculture, Fashion, Food and Beverages","common plant disease, pesticides harmful to men",Architecture and Agriculture
16,Female,Youtuber,"Huge performance laptop suggestions , Ultra HD Samsung  Monitor or  ViewSonic 4K Monitor, Mitstubishi outlanders tire durability in years , how deep should the foundation of a house be","IT and Electronics, Architecture and Agriculture, Automation and Transportation","Huge performance laptop suggestions , Ultra HD Samsung  Monitor or  ViewSonic 4k Monitor",IT and Electronics
17,Female,Businessman,"popular fashion dress, fuel efficient Mercedes Benz, NIKON Camera Lens for low light, custom Outfit renting company","IT and Electronics, Fashion, Automation and Transportation","NIKON Camera Lens for low light, custom Outfit renting company","IT and Electronics, Fashion"
17,Male,Youtuber,"back light suggestions for videos, place to buy handmade dreamcatchers, recommended cameras for video capture","IT and Electronics, Fashion", place to buy handmade dreamcatchers,Fashion
18,Male,Mechanic,"popular mobile phone, server size for a domestic website, is green tea a healthy choice, should businessmen always wear a tie to a meeting","IT and Electronics, Food and Beverages, Fashion","popular mobile phone, server size for a domestic website",IT and Electronics
18,Female,Youtuber,"top wireless earphones, most beautiful school in Sri Lanka, should beef be made illegal, what tablet is recommended for students","IT and Electronics, Architecture and Agriculture, Food and Beverages","top wireless earphones, most beautiful school in Sri Lanka, what tablet is recommended for students","IT and Electronics, Architecture and Agriculture"
19,Female,Musician,"easy design for a wedding cake, best cake flavours for birthday cakes, clothes fashions for a child, oriflame cosmatic products for perfumes ","Food and Beverages, Fashion","easy design for a wedding cake, best cake flavours for birthday cakes",Food and Beverages
19,Female,Software Developer,"toxic food for elderly people, food with harmful sweeteners, ideal golf yard size, colors to wear for a court hearing","Food and Beverages, Architecture and Agriculture, Fashion","toxic food for elderly people, food with harmful sweeteners",Food and Beverages
19,Female,Software Developer,"formal outfit for a offical event, Laser Printer or normal printer, speed of intel processors , intel or ryzen processors","IT and Electronics, Food and Beverages, Architecture and Agriculture, Fashion, Automation and Transportation","speed of intel processors , intel or ryzen processors",IT and Electronics
20,Female,Architect,"new shirt designs for boy, Best material for tshirt, Mandatory Cookery electronic item for a house, good flower type for a home, durable sewing scissor. "," Fashion, Architecture and Agriculture,IT and Electronics","New shirt design for boy, Best material for tshirt, durable sewing scissor. ",Fashion
20,Male,Electrician,"studios with the best sound control architecture, theatres that house the most audience, recommeded drink for gastritis, what jackets look the coolest","Food and Beverages, Architecture and Agriculture, Fashion","studios with the best sound control architecture, theatres that house the most audience",Architecture and Agriculture
20,Female,Student,"van with more seating capacity and fuel efficiency, beautiful candle design, required things to be kept in a car, cake design for a three year old ","Food and Beverages, Fashion, Automation and Transportation","van with more seating capacity and fuel efficiency, required things to be kept in a car", Automation and Transportation
21,Female,Student,"calm restaurant in day time, secure mobile phone,  current salary of a network administrator, famous IT company, best kind of sandal for the warm weather","IT and Electronics, Food and Beverages, Fashion","secure mobile phone,  current salary of a network administrator, famous IT company ",IT and Electronics
22,Male,Lecturer,"food to help digestion, scooter with the best fuel efficiency, worst drink for starvation, Sandals heels or shoes for a casual day","Food and Beverages, Fashion, Automation and Transportation","food to help digestion, worst drinks for starvation",Food and Beverages
22,Female,Mechanic,"Top restaurants in summer, Top suv vehicle for professional , top sedan cars , top clothing brands , best place to visit in sri lanka, currrent salary of a it project manager","IT and Electronics, Food and Beverages, Automation and Transportation","Top suv vehicle for professional , top sedan cars , currrent salary of a it project manager","IT and Electronics, Automation and Transportation"
22,Female,Software Developer,"New  Beach side house design , paint for out side walls, lighting systems for bedroom, Wall art for a living room, Emerald Shirt color for an occasion","Architecture and Agriculture, Fashion","New  Beach side house design , paint for out side walls, lighting systems for bedroom, Wall art for a living room",Architecture and Agriculture
23,Female,Electrician,"vegetable combination for a midday salad, light colors for a evening dress, skirts should be, DSLR camera or a gopro camera","Food and Beverages, Fashion, IT and Electronics ","light colors for a evening dress, skirts should be",Fashion
23,Male,Lecturer,"upcoming tshirt brand in this year, sedan type car with high engine capacity, Diet plan for busy people, public transport or personal vehicle ","Food and Beverages, Fashion, Automobiles and Transportation"," sedan type car with high engine capacity, public transport or personal vehicle ",Automobiles and Transportation
23,Male,Lecturer,"recommended car for a family of four, how much does a second hand peogeot cost ,  fancy restaurants suggestions for date, comfortable leisure wear out of these ","Automation and Transportation, Architecture and Agriculture, Fashion ","recommended car for a family of four, how much does a second hand peogeot cost ",Automation and Transportation
23,Male,Musician,"coolest feature in Apple iphone, which ONE Plus smart phone has the best camera , wedding fashion for Gents, Candos or revello chocalate ","IT and Electronics, Food and Beverages, Fashion","coolest feature in Apple iphone, which ONE Plus smart phone has the best camera ",IT and Electronics
24,Male,Mechanic,"best mobile operating system UX , graphic card performance out of these,  best laptop for students, Best electronic car engine  ","IT and Electronics, Automation and Transportation","best mobile operating system UX , graphic card performance out of these",IT and Electronics
24,Female,Youtuber," plant that every garden should have, pancake syrup with less calories, classy party wear for a girl, phone with a long lasting battery","IT and Electronics, Food and Beverages,  Fashion , Architecture and Agriculture, ",pancake syrup with less calories,Food and Beverages
25,Female,Business Analyst,"INDIGO power tool kit for Electrician, best place for a water pump, fast food delivery resturant","IT and Electronics, Food and Beverages","INDIGO power tool kit for Electrician, best place for a water pump",IT and Electronics
25,Female,Electrician,"are avacados good for digestion, sports shoe brand for workouts, choose a soil for construction, available place to build a skyscraper","Architecture and Agriculture, Food and Beverages, Fashion"," choose a soil for construction, available place to build a skyscraper",Architecture and Agriculture
25,Female,Student,"Casio digital and analog wrist watch for a lady, cappucino or black coffee,  Planation crops for dry Zones, shops with quality clothes at affordable prices","Food and Beverages, Architecture and Agriculture, Fashion","Casio digital and analog wrist watch for a lady, shops with quality clothes at affordable prices",Fashion
25,Female,Youtuber,"Most popular video game, Highly recommended mobile phone brand, hairstyle for a wedding, pizza flavour for valentine date   ","Electonics, Fashion, Food and Beverages","Most popular video game, Highly recommended mobile phone brand",IT and Electronics
26,Female,Lecturer,"should all girls own a straw hat, worst flavoured food for the teeth,  food to avoid when having braces","Food and Beverages, Fashion","worst flavoured food for the teeth, food to avoid when having braces",Food and Beverages
27,Female,Electrician,"ideal size for a personal swimming pool, soil to grow palm trees, pizza or burger, should cardigans be a trend again ","Architecture and Agriculture, Food and Beverages, Fasion ","ideal size for a personal swimming pool, soil to grow palm trees",Architecture and Agriculture
27,Female,Mechanic,"trees that grow the largest, water colour combination, coolest glass painting, underrated fruit juice","Architecture and Agriculture, Fashion, Food and Beverages"," water colour combination, coolest glass painting",Fashion
27,Male,Software Developer,"are touch screen laptops recommended for clerks, pair of earphones for moderate prices, places to buy cartoon character costumes, what flowers can be used to make tea","IT and Electronics, Fashion, Architecture and Agriculture","are touch screen laptops recommended for clerks, pair of earphones for moderate prices",IT and Electronics
27,Male,Student,"custom tshirt printing service, worst disadvantage of apple ipad pro, frock or skirt for a gift, pancakes taste better with","IT and Electronics, Food and Beverages, Fashion","custom tshirt printing service, frock or skirt for a gift",Fashion
28,Male,Business Analyst,"worst Toyota car engines repair, expensive Internal part of a van, Most convineant samsung products ","Automation and Transportation,IT and Electronics","worst Toyota car engines repair, expensive Internal part of a van",Automation and Transportation
28,Female,Business Analyst," food should not a pregnant mother eat, clothes should not be worn to funerals, fruit that help with digestion, ideal flowers to grow at home","Food and Beverages, Fashion, Architecture and Agriculture"," food should not a pregnant mother eat,  clothes should not be worn to funerals, fruits that help with digestion","Food and Beverages, Fashion"
28,Female,Youtuber,"saree color for a party, blouse design for a formal event, budget mobile phone model , bluetooth headset to respond calls, skyscraper architectures for a small space","IT and Electronics, Architecture and Agriculture, Fashion ","budget mobile phone model , bluetooth headset to respond calls",IT and Electronics
29,Male,Student,"Honda fit maximum wheel size which can be installed , fuel efficient Car engine capacity, chinese food resturant for dinner, prettiest wedding dress","Food and Beverages, Fashion, Automation and Transportation","Honda fit maximum wheel size which can be installed , fuel efficient Car engine capacity",Automation and Transportation
30,Male,Mechanic,"how much is a small smoldering iron, the most effiecient and environment friendly LED light bulb, food that keep you energized for a long time, clothes that do not conduct electricity easily","IT and Electronics, Fashion, Food and Beverages","how much is a small smoldering iron, the most effiecient and environment friendly LED light bulb, clothes that do not conduct electricity easily","IT and Electronics, Fashion"
30,Female,Software Developer,"Recommended laptops for students in A/Ls, Most suitable vehicle for transpoting, design for a sari jackets","Automation and Transport, IT and Electronics, Fashion","design for sari jackets,Recommended laptops for students in A/Ls","Fashion, IT and Electronics"
30,Female,Student,"Architectural designs for a small house, comfortable cloth material to sleep in, vote for the family car of the year, architect suggestion to design a house","Fashion, Automobiles and Transportation,  Architecture and Agriculture","Architectural designs for a small house,  architect suggestion to design a house",Architecture and Agriculture
30,Female,Student,"why Huawei smart phones are underrated, Gaming PC Casing suggestion for better cooling, trendy wedding frock for girls, tastiest croissant filling","IT and Electronics, Food and Beverages, Fashion","why Huawei smart phones are underrated, Gaming PC Casing suggestion for better cooling",IT and Electronics
32,Female,Business Analyst,"best formal wear design for women, casual hairstyle suggestion , graphic card to play cyberpunk, pizza place with free softdrinks","IT and Electronics, Food and Beverages, Fashion,   ","best formal wear design for women, casual hairstyle suggestion ",Fashion
32,Male,Business Analyst,"Recommended IT companies for undergraduates, top networking job positions, car for a lecturer, Italian dish for dinner","IT and Electronics, Automation and Transportation, Food and Beverages","Recommended IT companies for undergraduates, top networking job positions",IT and Electronics
32,Male,Business Analyst,"efficient tablet for salesmen, expensive place for a date, should salesman write or type, fashion sense was better in which century","IT and Electronics, Food and Beverages , Fashion","efficient tablet for salesmen, should salesman write or type",IT and Electronics
32,Male,Mechanic,"most appropriate fertilizer for lillies , least harmful flavouring in cornflakes , which combination of weeds are parasitic ,  worst pc hardware brand","Architecture and Agriculture, Food and Beverages, IT and Electronics","most appropriate fertilizer for lillies ,  which combination of weeds are parasitic ",Architecture and Agriculture
32,Female,Mechanic,"organic food for dogs, bikini colors for sunny beach, blouse for a professional event, are dark colours recommended for interior painting, ","Food and Beverages , Fashion,  Architecture and Agriculture","bikini colors for sunny beach, blouse for a professional event",Fashion
33,Female,Architect,"shoe with the thinnest sole, heavy weighing outfit for girls, food to prevent indigestion, building design that can withstand high wind pressure ","Fashion, Architecture and Agriculture, Food and Beverages ","shoe with the thinnest sole, heavy weighing outfit for girls,  building design that can withstand high wind pressure ","Architecture and Agriculture, Fashion"
33,Male,Businessman,"Top restaurants in sri lanka, structured Database, popular mobile phone, current salary of a system engineer","IT and Electronics, Food and Beverages, Fashion"," structured Database, current salary of a system engineer",IT and Electronics
33,Male,Software Developer,"Hair cut for a boy, beard style for adult, budget car for a barber, cake design for an anniversary","Food and Beverages, Fashion, Automobiles and Transportation","Hair cut for a boy, beard style for adult, budget car for a barber","Fashion, Automobiles and Transportation"
34,Female,Architect,"are hand drills a must have for housholds, straw hat design for a girl, best doughnut flavour, soy or meat sausages","IT and Electronics, Food and Beverages, Fashion,  ","best doughnut flavour, soy or meat sausages",Food and Beverages
34,Female,Musician,"best breakfast for a toddler , suitable tyre brand for offroad vehicles, recommended tablet pc for students , preferred syrup on pancakes","Food and Beverages, Automation and Transportation, IT and Electronics","best breakfast for a toddler , preferred syrup on pancakes",Food and Beverages
34,Female,Musician,"breakfast palate for kids, outdoor concert or indoor concert, will ripped jeans remain, leather jacket for a cold environment","Food and Beverages,  Fashion, Architecture and Agriculture","will ripped jeans remain, leather jacket for a cold environment",Fashion
35,Female,Architect,"suitable harvest for autumn, should fertilizer be organic or non-organic, will designers make high heels for males, expensive Diary products available","Architecture and Agriculture , Fashion,  Food and Beverages","suitable harvest for autumn, should fertilizer be organic or non-organic",Architecture and Agriculture
